平台,订单ID,达人昵称,达人UID,达人号,粉丝数,带货类型,带货等级,近30日销量,申样时间,领样商品,店铺名称,商品价格,商品ID,商品规格,件数,媒介,创建人,审核时间,同步ERP时间,发货时间
快手,SPUXBB20250718132527E35J8VG7L,万邦（抗癌中）,"	",y15141758576,3501,,,0,2025-07-18 13:25,米莉马莉冰感毛巾清凉降温夏季凉感湿巾止汗运动,米莉马莉官方旗舰店,19.8,"24842380196356	",冰感小毛巾1条*5包，绿色,2,鞠洁,鞠洁,,,
抖音,SPUXBB202507181324225P6T45NXF,吖皮🐻,"	",91481631754,3767,直播为主,L1,1662,2025-07-18 13:24,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,徐蕾,徐蕾,,,
抖音,SPUXBB20250718132035YEIPIX93Z,龙云小超市,"	",longyun0718,11268,视频为主,L3,42,2025-07-18 13:20,米莉马莉便携手帕湿巾8抽*28包宝宝手口便携式一次性迷你湿面巾,MillyMally亲子旗舰店,9.9,"3702937530157629739	",便携手帕湿巾8抽*28包,1,武倩雯,武倩雯,,,
抖音,SPUXBB20250718132035YEIPIX93Z,龙云小超市,"	",longyun0718,11268,视频为主,L3,42,2025-07-18 13:20,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,武倩雯,武倩雯,,,
抖音,SPUXBB20250718131952JB4F8VB2B,佳佳甄选,"4212929151633863	",dyl5jygc9613,4950,直播为主,L3,4883,2025-07-18 13:19,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,徐蕾,徐蕾,,,
抖音,SPUXBB2025071813132515OBD1JKC,品牌童装特卖   妍妈,"	",63980283707,33430,直播为主,L3,14541,2025-07-18 13:13,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,徐蕾,徐蕾,2025-07-18 13:16:56,2025-07-18 13:17:05,
抖音,SPUXBB2025071813132515OBD1JKC,品牌童装特卖   妍妈,"	",63980283707,33430,直播为主,L3,14541,2025-07-18 13:13,【120抽共12包】米莉马莉保湿乳霜柔纸巾母婴保湿云柔巾抽纸巾柔软,米莉马莉母婴旗舰店,39.9,"3705916628995801503	",12包*120抽,1,徐蕾,徐蕾,2025-07-18 13:16:56,2025-07-18 13:17:05,
小红书,SPUXBB20250718131223GMFG5I77R,钰锡宝贝吖,"	",1593753063,0,,,0,2025-07-18 13:12,20抽湿巾随身装新生婴幼儿宝宝手口专用小包便携湿巾,米莉马莉旗舰店,9.9,"6867485b75650600018271c0	",婴儿手口湿巾20抽*10包,1,徐蕾,徐蕾,2025-07-18 13:16:55,2025-07-18 13:17:05,
抖音,SPUXBB20250718112933S0TU7IP3V,萌萌的元宝（33周早产）,"2651661261078926	",mengmengjia66677,3545,直播为主,L3,181,2025-07-18 11:29,【到手12包共2040抽】米莉马莉婴儿乳霜柔纸巾170抽保湿纸柔软便携,米莉马莉官方旗舰店,79.9,"3660579924143659907	", 【共2040抽】12包*170抽,1,何露,何露,2025-07-18 13:16:55,2025-07-18 13:17:05,
抖音,SPUXBB20250718112829XFQV6WFFF,佳佳好物百货,"	",jiajiahaowub,2217332,视频为主,L5,997,2025-07-18 11:28,米莉马莉100%棉洗脸巾壁挂式一次性洁面巾悬挂式擦脸巾加厚棉柔巾,米莉马莉个人护理旗舰店,39.9,"3759723811717644965	",100%全棉洗脸巾80抽*3包,1,何露,何露,2025-07-18 13:16:55,2025-07-18 13:17:05,
抖音,SPUXBB20250718111528ZEMJ0SO5M,恩可爱麻麻,"86967242745	",275088711,4671,,L1,619,2025-07-18 11:15,【3层30抽*15包】米莉马莉婴儿乳霜保湿柔纸巾母婴云柔纸巾,MillyMally亲子旗舰店,19.9,"3753192607556174749	",30抽*15包,1,何露,何露,2025-07-18 13:16:55,2025-07-18 13:17:05,
抖音,SPUXBB20250718111528ZEMJ0SO5M,恩可爱麻麻,"86967242745	",275088711,4671,,L1,619,2025-07-18 11:15,米莉马莉便携手帕湿巾8抽*28包宝宝手口便携式一次性迷你湿面巾,MillyMally亲子旗舰店,9.9,"3702937530157629739	",便携手帕湿巾8抽*28包,1,何露,何露,2025-07-18 13:16:55,2025-07-18 13:17:05,
快手,SPUXBB20250718110046I487XKKR3,孤岛的鱼,"4788017039	",4788017039,282,,,0,2025-07-18 11:00,【大新专享】米莉马莉80抽10包婴儿手口湿巾新生儿专用实惠大包装,米莉马莉官方旗舰店,29.9,"20487907329356	",80抽*10包,1,鞠洁,鞠洁,2025-07-18 13:16:55,2025-07-18 13:17:05,
抖音,SPUXBB20250718105455E390XGTZN,金豆丁儿U0001fad8,"2846000256656971	",duojinjin6688,10270,视频为主,L3,817,2025-07-18 10:54,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,李冰心,李冰心,2025-07-18 13:16:54,2025-07-18 13:17:05,
